date,holiday_name,holiday_type
2026-01-01,Uusaasta,"Riigipüha, puhkepäev"
2026-02-24,"Iseseisvuspäev, Eesti Vabariigi aastapäev","Rahvuspüha, puhkepäev"
2026-04-03,Suur reede,"Riigipüha, puhkepäev"
2026-04-05,Ülestõusmispühade 1. püha,"Riigipüha, puhkepäev"
2026-05-01,Kevadpüha,"Riigipüha, puhkepäev"
2026-05-24,Nelipühade 1. püha,"Riigipüha, puhkepäev"
2026-06-23,Võidupüha,"Riigipüha, puhkepäev"
2026-06-24,Jaanipäev,"Riigipüha, puhkepäev"
2026-08-20,Taasiseseisvumispäev,"Riigipüha, puhkepäev"
2026-12-24,Jõululaupäev,"Riigipüha, puhkepäev"
2026-12-25,Esimene jõulupüha,"Riigipüha, puhkepäev"
2026-12-26,Teine jõulupüha,"Riigipüha, puhkepäev"
